,CLM_NBR,AUTO_ACCIDENT_DESC,CLAIMANT_STATUS,APPR_DAM_EST_REC_CNT,VEH_COLR_TXT,VEH_DAM_TXT,CLMT_VEH_MDL_NM,CLMT_VEH_YR,VEH_TYPE,VEH_PRIMARY_PT_OF_DAMAGE,AIRBAG_DEPLOYED,VEH_SPEED_AT_IMPACT
0,YB85Q6L,Multi Veh - Unclear Liab,Closed with Payment,1,BURGANDY,"D/S FRONT FENDER, D",F-350 SUPE,2003,Automobile,Driver Front Corner,None,Below 10 mph
1,VUC6B3X,Multi Veh - Unclear Liab,Closed with Payment,2,BLACK,UNK REAR DMG,SONATA HYB,2016,Automobile,Complete Rear End,None,Parked or Stopped
6,EKICR4W,Multi Veh - Unclear Liab,Closed with Payment,1,BLACK,POI: D/S DOOR WON'T,200 LX,2016,Automobile,Driver Center,None,10-20 mph
12,Y9TIRJH,Multi Veh - Clear Liab,Closed without Payment,1,SILVER,NONE,COROLLA CE,2007,Automobile,No Damage,None,21-50 mph
16,YZKNJDD,Multi Veh - Unclear Liab,Closed with Payment,2,BLUE,PRIMARY POINT OF DA,F-150 SUPE,2009,Automobile,Complete Front End,One,Unknown
25,X0STU9Z,Multi Veh - Unclear Liab,Closed with Payment,1,Silver,"FRONT BUMPER, GRILL",OUTBACK 3.,2011,Automobile,Complete Front End,None,Unknown
31,CBH7XVD,Multi Veh - Unclear Liab,Closed with Payment,2,WHITE,BACK GLASS IS OUT -,SRX PREMIU,2016,Automobile,Driver Rear Corner,None,Unknown
43,X8LZHG1,Multi Veh - Unclear Liab,Closed without Payment,1,WHITE,PS REAR 1/4 PANEL W,TC,2005,Automobile,Complete Front End,More than one,21-50 mph
49,TKYJ2PM,Single Veh,Closed with Payment,2,BLUE,ENTIRE P/S AND FRON,YUKON SLE/,2003,Automobile,Complete Passenger Side,One,21-50 mph
51,910W8X5,Multi Veh - Unclear Liab,Closed with Payment,2,GRAY,"D/S FRNOT QP, HEADL",LEGACY 2.5,2012,Automobile,Driver Front Corner,None,10-20 mph
54,V03XJKM,Multi Veh - Unclear Liab,Closed without Payment,0,GREEN,FRONT UNK,FOCUS ZX4,2007,Automobile,Complete Front End,Unknown,Unknown
60,CI6GHKK,Single Veh,Closed without Payment,1,Gray,POI: HOOD/RADIATOR/,GRAND CHER,1998,Automobile,Complete Front End,None,21-50 mph
61,NVDAW68,Multi Veh - Unclear Liab,Closed without Payment,0,GREY/BROWN,POI: REAR BUMPER CR,ENDEAVOR X,2004,Automobile,Complete Rear End,None,Below 10 mph
67,A3ROXGM,Multi Veh - Unclear Liab,Closed without Payment,1,WHITE ORCHID T,REAR BUMEPR DAMAGE.,ACCORD SPO,2015,Automobile,Complete Rear End,None,Parked or Stopped
71,CJFK8LG,Multi Veh - Unclear Liab,Closed with Payment,1,GRAY,BACK BUMPER CAME OF,MATRIX BAS,2006,Automobile,Complete Front End,More than one,Unknown
74,317RK1Q,Single Veh,Closed with Payment,1,MAROON,FRT WINDSHIELD CRAC,RANGER,2001,Automobile,All Over,Unknown,Unknown
76,XTJ8ST5,Multi Veh - Unclear Liab,Closed with Payment,2,WHITE,"DMG TO REAR BUMPER,",IMPALA LS,2011,Automobile,Complete Rear End,None,21-50 mph
78,3NHRNUF,Multi Veh - Unclear Liab,Closed with Payment,1,BLACK,SHATTER WINDSHIELD,RAV4,2012,Automobile,Complete Rear End,None,Unknown
81,0JK24NE,Multi Veh - Unclear Liab,Closed without Payment,1,SILVER,POI:UNK,RAV 4 LIMITED,2012,Automobile,Driver Front Corner,One,Unknown
84,BBDQQW2,Single Veh,Closed with Payment,3,Silver,"REAR END DAMAGE, BU",PRIUS,2006,Automobile,Complete Rear End,None,Parked or Stopped
86,4HNYX8U,Multi Veh - Unclear Liab,Closed with Payment,2,White,POI: TRUNK REAR BUM,CAMRY L/LE,2013,Automobile,Complete Rear End,None,Parked or Stopped
90,UYZS9X8,Multi Veh - Unclear Liab,Closed with Payment,1,CHARCOAL,POI: COMPLETE FRONT,320I,2014,Automobile,Complete Front End,More than one,21-50 mph
96,7ZCM3UX,Multi Veh - Unclear Liab,Closed with Payment,2,BLUE,"HEADLIGHT, BUMPER A",FORESTER 2,2015,Automobile,Passenger Front Corner,None,Unknown
106,G3UQ48U,Multi Veh - Unclear Liab,Closed with Payment,1,TAN,P/S DAMAGE,AVALANCHE,2006,Automobile,Passenger Front Corner,None,Unknown
108,72PSX8B,Multi Veh - Unclear Liab,Closed with Payment,1,BLUE,REAR D/S BUMPER AND,CIVIC LX,2005,Automobile,Driver Rear Corner,None,Parked or Stopped
114,KCQ0FLG,Multi Veh - Unclear Liab,Closed with Payment,1,GRAY,UNKNOWN,MAXIMA SE/,2005,Automobile,Complete Front End,One,Unknown
130,1X8HVJN,Single Veh,Closed with Payment,1,SILVER,POI- F/E D/S DMG- B,CENTURY CU,2002,Automobile,Driver Front Corner,None,Over 50 mph
132,5GYUT5F,Multi Veh - Unclear Liab,Closed with Payment,1,Gray,FRONT MIDDLE BUMPER,RANGER SUP,2011,Automobile,Complete Front End,None,Unknown
134,XC9Y93K,Single Veh,Closed with Payment,6,WHITE PRL,"CHIPPED, DENTED, HO",ALTIMA,2016,Automobile,Passenger Front Corner,None,Below 10 mph
137,R4GUYQW,Multi Veh - Unclear Liab,Closed with Payment,1,SILVER,"DMG TO FRONT D/S, H",CTS LUXURY,2012,Automobile,Driver Front Corner,One,Parked or Stopped
141,IESEMUR,Multi Veh - Unclear Liab,Closed with Payment,1,RED,D/S / P/S DAMAGE FR,XTERRA X/S,2014,Automobile,Complete Front End,More than one,Unknown
153,FN3D1LZ,Multi Veh - Unclear Liab,Closed with Payment,1,Black (NH731P),BOTH DOORS AND FEND,CIVIC EX,2014,Automobile,Complete Driver Side,None,10-20 mph
168,OCSY0TL,Multi Veh - Unclear Liab,Closed with Payment,1,TWO TONE,POI/DMG- FRONT BUMP,EXPEDITION,2006,Automobile,Complete Front End,One,21-50 mph
172,G6S162Q,Multi Veh - Unclear Liab,Closed with Payment,1,SILVER,COMPLETE FRONT END,AVEO BASE/,2005,Automobile,Complete Front End,None,21-50 mph
174,64CB1RT,Multi Veh - Unclear Liab,Closed without Payment,1,GRAY,POI:REAR BUMPER-SCR,JETTA,2006,Automobile,Complete Rear End,None,Parked or Stopped
180,H1XS5RF,Multi Veh - Unclear Liab,Closed without Payment,1,BLUE,POI: REAR BUMPER PA,CRV,2014,Automobile,Complete Rear End,None,Parked or Stopped
190,27XEN4T,Multi Veh - Unclear Liab,Closed with Payment,2,BLUE,PRIMARY POINT OF DA,ROGUE,2016,Automobile,Driver Front Corner,None,Unknown
193,YC538AQ,Multi Veh - Unclear Liab,Closed without Payment,1,SILVER,FRONT END DAMAGE,RAM PICKUP,1999,Automobile,Complete Front End,More than one,Unknown
195,ETU95AU,Single Veh,Closed with Payment,2,BLACK,PRIMARY POINT OF DA,CHALLENGER,2013,Automobile,Passenger Center,None,Unknown
201,IK2AVXV,Multi Veh - Unclear Liab,Closed with Payment,1,SILVER,DMG TO QUART PNL AN,FUSION SE,2013,Automobile,Driver Rear Corner,None,Parked or Stopped
203,ABGJ2BS,Multi Veh - Unclear Liab,Closed with Payment,3,Black,COMPLETE FRONT END,JETTA S/SE,2014,Automobile,Complete Front End,None,21-50 mph
207,M47PE58,Multi Veh - Unclear Liab,Closed with Payment,3,GRAY,POI: COMPLETE R/E D,ACCORD EX,2008,Automobile,Driver Rear Corner,None,21-50 mph
209,IOHMUI7,Multi Veh - Unclear Liab,Closed with Payment,2,GRAY,FRONT END,COMPASS,2015,Automobile,Complete Front End,None,Unknown
219,VC4ALX9,Multi Veh - Unclear Liab,Closed with Payment,4,White,REAR END DAMAGE,GRAND CHER,2016,Automobile,Complete Rear End,None,Parked or Stopped
225,MPBF5C7,Single Veh,Closed with Payment,1,WHITE,F/E COMPLETE. F/E S,JETTA BASE,2013,Automobile,Complete Front End,More than one,Unknown
228,MPDOGRR,Single Veh,Closed with Payment,1,BLACK,ALL OVER,TACOMA DOU,2010,Automobile,All Over,More than one,Over 50 mph
229,F4I3DDN,Single Veh,Closed without Payment,0,UNKNOWN,PRIMARY POINT OF DA,UNKNOWN,1900,Automobile,No Damage,Unknown,Unknown
233,S6EQ7SG,Multi Veh - Unclear Liab,Closed with Payment,2,RED,SUPP PS DAMAGE,FORESTER,2016,Automobile,Complete Passenger Side,None,Unknown
237,S2CPVFL,Multi Veh - Unclear Liab,Closed with Payment,1,TAN,CRUSHED HOOD RADIAT,CAMRY CE/L,1997,Automobile,Complete Front End,None,21-50 mph
243,1T4632G,Multi Veh - Unclear Liab,Closed with Payment,1,BLACK,"F/E DMG, WINDSHIELD",DART SXT/D,2013,Automobile,Complete Front End,More than one,Unknown
249,NW1QDBP,Multi Veh - Unclear Liab,Closed with Payment,1,SILVER,POI: FRONT BUMPER &,ODYSSEY EX,2003,Automobile,Complete Front End,One,10-20 mph
253,SPQOG3S,Multi Veh - Unclear Liab,Closed with Payment,1,WHITE,POI: FRT END DMG UN,LEGACY BRI,1995,Automobile,Complete Front End,None,Below 10 mph
256,WLEW4ZU,Multi Veh - Unclear Liab,Closed with Payment,1,SILVER,POI- FRONT ENDHOOD,A7,2014,Automobile,Complete Front End,None,10-20 mph
262,P0YJV8Y,Multi Veh - Unclear Liab,Closed with Payment,1,GREEN,POI: FRONT BUMPER-,ALTIMA 2.5,2003,Automobile,Complete Front End,More than one,21-50 mph
277,6QKFG2Z,Multi Veh - Unclear Liab,Closed with Payment,2,GREY,POI: PASS CENTER (,ALTIMA,1900,Automobile,Passenger Center,More than one,21-50 mph
279,EPGTMBI,Multi Veh - Unclear Liab,Closed with Payment,3,Green,FRONT BUMPER ON D/S,500 POP,2012,Automobile,Driver Front Corner,None,Unknown
284,FI1PS24,Multi Veh - Unclear Liab,Closed with Payment,1,BLACK,"DENTED, SMASHED IN",HR-V LX AW,2018,Automobile,Complete Front End,One,10-20 mph
311,Q4NF6N1,Multi Veh - Unclear Liab,Closed with Payment,1,Silver,SCRATCHES ALONG P/S,TACOMA BAS,2000,Automobile,Complete Passenger Side,None,Unknown
314,1O15LVC,Multi Veh - Unclear Liab,Closed without Payment,1,GRAY,POI- RR BMP DENTED/,COROLLA,2006,Automobile,Complete Rear End,None,Parked or Stopped
316,CJBRIBW,Multi Veh - Unclear Liab,Closed with Payment,1,MAROON,P/S REAR DOOR,RAV4 XLE,2014,Automobile,Driver Front Corner,More than one,Unknown
322,8FN5QGV,Multi Veh - Unclear Liab,Closed with Payment,1,BLACK,D/S FRT BUMPER FEND,TUNDRA DOU,2013,Automobile,Driver Front Corner,One,21-50 mph
324,Q1EZEX8,Multi Veh - Unclear Liab,Closed with Payment,2,GOLD,POI- FRT BUMPER GRI,CTS,2008,Automobile,Complete Front End,None,10-20 mph
336,T2U8XEN,Multi Veh - Unclear Liab,Closed with Payment,1,White,POI:DS F/E QTR PNL,PARK AVENU,2000,Automobile,Driver Front Corner,None,21-50 mph
342,DLBTDZI,Multi Veh - Unclear Liab,Closed with Payment,1,WHITE,POI:P/S SCRATCHED S,LUCERNE CX,2008,Automobile,Passenger Center,None,Unknown
350,LPFDXTX,Single Veh,Closed with Payment,1,WHITE,"COMPLETE F/E DMG, P",ALTIMA BAS,2008,Automobile,Complete Front End,More than one,Unknown
352,P5WLOAA,Multi Veh - Unclear Liab,Closed without Payment,1,BLACK,NO DMG TO IV PLZ VE,F-150 SUPE,2006,Automobile,No Damage,None,Below 10 mph
361,5RQX4PO,Multi Veh - Unclear Liab,Closed without Payment,0,Silver,"P/S REAR BUMPER, P/",RAV4 LE,2013,Automobile,Passenger Rear Corner,None,21-50 mph
363,IH83TWJ,Multi Veh - Unclear Liab,Closed with Payment,1,WHITE,POI FRONT BUMPER GR,PASSAT GLS,2002,Automobile,Complete Front End,None,Unknown
369,4GU62XF,Single Veh,Closed with Payment,1,BLUE/GOLD,DMG TO THE TAILGATE,PICKUP 150,1998,Automobile,Complete Rear End,None,Below 10 mph
375,8XI31PM,Multi Veh - Unclear Liab,Closed with Payment,2,WHITE,SUP TRUCK BED PUSH,PICKUP 350,2019,Automobile,Complete Rear End,None,Parked or Stopped
384,R2XKTBP,Multi Veh - Unclear Liab,Closed with Payment,1,BLACK,BUMPER PUSHED INTO,ACCORD LX,2016,Automobile,Complete Front End,None,21-50 mph
387,N25UE10,Multi Veh - Unclear Liab,Closed with Payment,1,WHITE,POI: REAR BUMPER CR,335I,2012,Automobile,Passenger Rear Corner,None,Parked or Stopped
393,GAVCJWQ,Multi Veh - Unclear Liab,Closed with Payment,1,Black,F/E:  SCRAPE TO FRO,CAMRY L/LE,2013,Automobile,Complete Front End,None,Parked or Stopped
397,9W5RIA4,Multi Veh - Unclear Liab,Closed without Payment,1,Blue,F/E BUMPER DMGS,RAM PICKUP,2006,Automobile,Complete Front End,None,Unknown
405,CXL7FVY,Multi Veh - Unclear Liab,Closed without Payment,0,BLUE,BUMPER DMG,FRONTIER X,1999,Automobile,Complete Rear End,None,Parked or Stopped
407,UQM32WG,Multi Veh - Unclear Liab,Closed with Payment,1,BLACK,F/E DMG,ACCENT GLS,2012,Automobile,Complete Front End,None,Unknown
413,QO1GV85,Multi Veh - Unclear Liab,Closed with Payment,2,DARK GRA,POI FRT BMPR PUSHED,4RUNNER SR,2012,Automobile,Complete Front End,None,Below 10 mph
416,EZ27RSU,Multi Veh - Unclear Liab,Closed with Payment,2,GOLD,"HEAVY F/E DMG, FLUI",ACADIA SLT,2013,Automobile,Complete Front End,None,21-50 mph
441,MHED49W,Multi Veh - Unclear Liab,Closed without Payment,1,GREEN,"RIGHT TIRE SLASHED,",EXPLORER S,2001,Automobile,Complete Rear End,None,21-50 mph
456,Q2TKVCP,Multi Veh - Unclear Liab,Closed without Payment,0,TAN,RE BUMPER,GRAND CHER,2015,Automobile,Complete Rear End,None,Parked or Stopped
460,K3DD3TM,Multi Veh - Unclear Liab,Closed with Payment,1,GRAY,POI AND EXT OF DMG,535XI AWD,2011,Automobile,Complete Front End,Unknown,Unknown
466,H92JZV2,Single Veh,Closed with Payment,1,SILVER,POI: FRONT PS BUMPE,MAZDA3 I T,2013,Automobile,Passenger Front Corner,One,21-50 mph
469,49G4JMW,Multi Veh - Unclear Liab,Closed with Payment,1,BLACK,SIGNIFICANT DAMAGE,SENTRA BAS,2010,Automobile,Complete Front End,One,21-50 mph
472,E5Q22PP,Multi Veh - Unclear Liab,Closed without Payment,0,WHITE,PRIMARY POINT OF DA,SILVERADO,2002,Automobile,Passenger Center,None,Below 10 mph
484,NAP20DW,Multi Veh - Unclear Liab,Closed with Payment,3,Burgundy,"D/S FRONT BUMPER, D",MDX AWD (S,2007,Automobile,Driver Front Corner,None,Below 10 mph
486,25XQ9T6,Multi Veh - Unclear Liab,Closed with Payment,1,UNKNOWN,POI: TRUNK PUSHED I,626 LX/626,2000,Automobile,Complete Rear End,None,Parked or Stopped
492,H741Y8G,Multi Veh - Unclear Liab,Closed without Payment,0,Red,POI/DMG- REAR BUMPE,RIO LX,2013,Automobile,Complete Rear End,None,Below 10 mph
496,5V7G8N9,Multi Veh - Unclear Liab,Closed without Payment,1,BLACK,NONE,LEGACY O,2000,Automobile,No Damage,None,Below 10 mph
500,Q8AQQKA,Multi Veh - Unclear Liab,Closed with Payment,1,SILVER,FRONT AND REAR END,SENTRA,2016,Automobile,Complete Rear End,None,Parked or Stopped
502,CNNCFAA,Multi Veh - Unclear Liab,Closed with Payment,3,RED,SIDEVIEW MIRROR RIM,FOCUS SE/S,2008,Automobile,Passenger Front Corner,None,10-20 mph
506,I2F3U2G,Multi Veh - Unclear Liab,Closed with Payment,1,WHITE,SEE NOTES,SIERRA 250,2004,Automobile,Complete Front End,More than one,21-50 mph
516,UXOO5ZE,Multi Veh - Unclear Liab,Closed without Payment,2,BLACK,SCRAPED REAR BUMPER,GRAND CHEROKE,1999,Automobile,Driver Rear Corner,None,Parked or Stopped
530,Z3RM6YK,Multi Veh - Unclear Liab,Closed with Payment,1,BLACK,POI: P/S REAR CORNE,RAM PICKUP,2004,Automobile,Passenger Rear Corner,None,21-50 mph
532,QAULVZE,Multi Veh - Unclear Liab,Closed with Payment,2,WHITE,BACK BUMPER DRAGGIN,EQUINOX LT,2017,Automobile,Complete Rear End,None,Below 10 mph
544,CXOUPQG,Multi Veh - Unclear Liab,Closed with Payment,2,SILVER,F/E DENTED,SEBRING TO,2008,Automobile,Complete Front End,None,Unknown
546,C0KWNHL,Multi Veh - Unclear Liab,Closed with Payment,1,BURGUNDY,FRONT PS DOOR SMASH,MDX AWD,2009,Automobile,Passenger Center,None,Unknown
552,MOZIJBW,Multi Veh - Unclear Liab,Closed with Payment,3,Black,P/S R/E BUMPER PUSH,F-150 SUPE,2013,Automobile,Passenger Rear Corner,None,21-50 mph
554,EXE6UBA,Multi Veh - Unclear Liab,Closed with Payment,2,PEARL WHITE,BOTH D/S DOORS DENT,MALIBU ECO,2013,Automobile,Driver Center,None,Below 10 mph
558,2ZHFMGY,Multi Veh - Unclear Liab,Closed with Payment,1,BLUE,POI: D/S FRNT DR PU,COOPER,2006,Automobile,Driver Center,More than one,Unknown
562,XFP718M,Multi Veh - Unclear Liab,Closed with Payment,2,BLACK,POI - REAR UNK,ALLROAD QU,2005,Automobile,Driver Front Corner,None,Parked or Stopped
564,ANIB31X,Multi Veh - Unclear Liab,Closed without Payment,1,WHITE,P/S RR 1/4 AND POSS,RAV4,2001,Automobile,Passenger Rear Corner,None,21-50 mph
567,W4RQ5TN,Multi Veh - Unclear Liab,Closed with Payment,1,WHITE,FRONT END DMG,CR-V EX,2004,Automobile,Complete Front End,None,Unknown
570,20N8PFI,Multi Veh - Unclear Liab,Closed with Payment,1,BLACK,COMPLETE FRONT END,ACCORD EX,2008,Automobile,Complete Front End,None,Below 10 mph
573,EGLTELS,Multi Veh - Unclear Liab,Closed with Payment,1,SILVER,REAR BUMPER TRUNK T,SPECTRA EX,2006,Automobile,Complete Rear End,None,Parked or Stopped
581,7TJLT23,Multi Veh - Unclear Liab,Closed without Payment,1,White,UNKNOWN,ELANTRA SE,2018,Automobile,Complete Front End,None,Unknown
583,UY3YNTC,Multi Veh - Unclear Liab,Closed with Payment,2,Blue,D/S RR TIRE BUSTED,H2,2006,Automobile,Complete Driver Side,None,10-20 mph
587,31TAGQO,Multi Veh - Unclear Liab,Closed with Payment,1,GRAY,POI'F/E D/S INSD IS,VIBE,2006,Automobile,Driver Front Corner,Unknown,Unknown
590,ALFFAD4,Single Veh,Closed without Payment,2,BLUE,PRIMARY POINT OF DA,CONTOUR LX,1998,Automobile,No Damage,None,Unknown
598,34VT9PB,Multi Veh - Clear Liab,Closed with Payment,2,White,"F/B IS OFF, COOLANT",CAMRY L/LE,2013,Automobile,Complete Front End,None,21-50 mph
601,1QF04SL,Multi Veh - Unclear Liab,Closed with Payment,1,SILVER,POI:FRONT END (RADI,CAMRY CE/C,2001,Automobile,Complete Front End,None,21-50 mph
603,UIH6M1D,Multi Veh - Unclear Liab,Closed with Payment,1,BLACK,POI: COMPLETE FR EN,ALTIMA,2014,Automobile,Driver Front Corner,Unknown,21-50 mph
607,XC0SK0D,Multi Veh - Unclear Liab,Closed with Payment,4,SILVER,FRONT P/S QTR PANEL,ELANTRA SE,2014,Automobile,Passenger Front Corner,None,Unknown
609,J9ESNTR,Single Veh,Closed without Payment,1,Gray,POI-FRONT PLOW BLAD,SIERRA 150,2011,Automobile,No Damage,None,10-20 mph
613,U8O30ZR,Multi Veh - Unclear Liab,Closed without Payment,0,UNKNOWN,MINOR REAR END DMG,CR-V EX AW,2016,Automobile,Complete Rear End,Unknown,Unknown
616,DFJZ8A2,Multi Veh - Unclear Liab,Closed with Payment,2,White,"REAR BUMPER LOOSE,",JOURNEY SX,2014,Automobile,Complete Rear End,None,Parked or Stopped
620,HQDOTAD,Multi Veh - Unclear Liab,Closed with Payment,2,White,SUPP IN BUMPER,S550,2016,Automobile,Complete Rear End,None,Parked or Stopped
623,HIRH90U,Multi Veh - Unclear Liab,Closed with Payment,1,SILVER,UNK VERIFY,ACCORD LX,2011,Automobile,Driver Front Corner,None,10-20 mph
626,Z2SQKOU,Multi Veh - Unclear Liab,Closed with Payment,1,WHITE,"P.S FRNT END DMG, E",MALIBU LTZ,2011,Automobile,Passenger Front Corner,None,Unknown
635,RW8UCUX,Multi Veh - Unclear Liab,Closed with Payment,1,BLACK,POI--GRILL CAME OFF,S80 3.2,2010,Automobile,Complete Front End,None,Below 10 mph
639,H7PQV5Y,Multi Veh - Unclear Liab,Closed with Payment,1,SILVER MET,POI- P/S FRONT FEND,EQUATOR CR,2011,Automobile,Passenger Front Corner,None,21-50 mph
642,F3C76QL,Multi Veh - Unclear Liab,Closed without Payment,0,Red,REAR BUMPER CRACKED,CIVIC LX,2008,Automobile,Complete Rear End,None,Parked or Stopped
643,G8V0LPM,Multi Veh - Unclear Liab,Closed with Payment,1,Black,FRONT BUMPER CRACKE,PILOT EX,2006,Automobile,Complete Rear End,None,21-50 mph
646,KH4L24G,Multi Veh - Unclear Liab,Closed with Payment,1,BLUE,P/S FRONT FENDER,SEQUOIA LI,2006,Automobile,Passenger Front Corner,None,Unknown
