43,X8LZHG1,Multi Veh - Unclear Liab,Closed without Payment,1,WHITE,PS REAR 1/4 PANEL W,TC,2005,Automobile,Complete Front End,More than one,21-50 mph
86,4HNYX8U,Multi Veh - Unclear Liab,Closed with Payment,2,White,POI: TRUNK REAR BUM,CAMRY L/LE,2013,Automobile,Complete Rear End,None,Parked or Stopped
90,UYZS9X8,Multi Veh - Unclear Liab,Closed with Payment,1,CHARCOAL,POI: COMPLETE FRONT,320I,2014,Automobile,Complete Front End,More than one,21-50 mph
134,XC9Y93K,Single Veh,Closed with Payment,6,WHITE PRL,"CHIPPED, DENTED, HO",ALTIMA,2016,Automobile,Passenger Front Corner,None,Below 10 mph
141,IESEMUR,Multi Veh - Unclear Liab,Closed with Payment,1,RED,D/S / P/S DAMAGE FR,XTERRA X/S,2014,Automobile,Complete Front End,More than one,Unknown
219,VC4ALX9,Multi Veh - Unclear Liab,Closed with Payment,4,White,REAR END DAMAGE,GRAND CHER,2016,Automobile,Complete Rear End,None,Parked or Stopped
237,S2CPVFL,Multi Veh - Unclear Liab,Closed with Payment,1,TAN,CRUSHED HOOD RADIAT,CAMRY CE/L,1997,Automobile,Complete Front End,None,21-50 mph
253,SPQOG3S,Multi Veh - Unclear Liab,Closed with Payment,1,WHITE,POI: FRT END DMG UN,LEGACY BRI,1995,Automobile,Complete Front End,None,Below 10 mph
256,WLEW4ZU,Multi Veh - Unclear Liab,Closed with Payment,1,SILVER,POI- FRONT ENDHOOD,A7,2014,Automobile,Complete Front End,None,10-20 mph
342,DLBTDZI,Multi Veh - Unclear Liab,Closed with Payment,1,WHITE,POI:P/S SCRATCHED S,LUCERNE CX,2008,Automobile,Passenger Center,None,Unknown
375,8XI31PM,Multi Veh - Unclear Liab,Closed with Payment,2,WHITE,SUP TRUCK BED PUSH,PICKUP 350,2019,Automobile,Complete Rear End,None,Parked or Stopped
441,MHED49W,Multi Veh - Unclear Liab,Closed without Payment,1,GREEN,"RIGHT TIRE SLASHED,",EXPLORER S,2001,Automobile,Complete Rear End,None,21-50 mph
590,ALFFAD4,Single Veh,Closed without Payment,2,BLUE,PRIMARY POINT OF DA,CONTOUR LX,1998,Automobile,No Damage,None,Unknown
609,J9ESNTR,Single Veh,Closed without Payment,1,Gray,POI-FRONT PLOW BLAD,SIERRA 150,2011,Automobile,No Damage,None,10-20 mph
620,HQDOTAD,Multi Veh - Unclear Liab,Closed with Payment,2,White,SUPP IN BUMPER,S550,2016,Automobile,Complete Rear End,None,Parked or Stopped
626,Z2SQKOU,Multi Veh - Unclear Liab,Closed with Payment,1,WHITE,"P.S FRNT END DMG, E",MALIBU LTZ,2011,Automobile,Passenger Front Corner,None,Unknown
680,ILY1982,Multi Veh - Unclear Liab,Closed with Payment,1,DARK GREY,POI-R QTR PANEL PS,TAHOE,2004,Automobile,Passenger Rear Corner,None,Below 10 mph
688,U454NQD,Multi Veh - Unclear Liab,Closed with Payment,2,BLACK,BACK BUMPER FELL DO,COROLLA L/,2012,Automobile,Complete Rear End,None,21-50 mph
809,LGT1MTR,Multi Veh - Unclear Liab,Closed with Payment,1,SILVER,POI ENTIRE REAR P/S,ALTIMA,2014,Automobile,Passenger Rear Corner,More than one,10-20 mph
928,GSE7APU,Multi Veh - Unclear Liab,Closed with Payment,4,Silver,"HOOD BENT UP,",PILOT,2015,Automobile,Passenger Front Corner,None,Unknown
953,BW5QOX0,Multi Veh - Unclear Liab,Closed with Payment,1,BURGUNDY,COMPLETE F/E,ELANTRA LT,2015,Automobile,Complete Front End,One,Unknown
989,2TE58E9,Multi Veh - Clear Liab,Closed with Payment,2,WHITE,SUPP,ES 350,2016,Automobile,Complete Rear End,None,Parked or Stopped
1020,29P9UV0,Multi Veh - Unclear Liab,Closed with Payment,5,Blue,D/S QTR PANEL/REAR,ACCORD EX,2013,Automobile,Driver Rear Corner,None,21-50 mph
1070,SAHVOCU,Multi Veh - Unclear Liab,Closed without Payment,0,Green,PASS SIDE FRONT FND,SEBRING TO,2005,Automobile,Passenger Front Corner,None,Unknown
1205,0XO25AD,Multi Veh - Unclear Liab,Closed with Payment,4,Black,PRIMARY POINT OF DA,Q7 QUATTRO,2018,Automobile,Complete Rear End,None,Parked or Stopped
